file_name = data/pg_82.txt | result size = 117494 | Time elapsed: 0.378316 seconds
file_name = data/pg_83.txt | result size = 117812 | Time elapsed: 0.351362 seconds
file_name = data/pg_84.txt | result size = 118189 | Time elapsed: 0.354103 seconds
file_name = data/pg_85.txt | result size = 118582 | Time elapsed: 0.366894 seconds
file_name = data/pg_86.txt | result size = 118962 | Time elapsed: 0.36166 seconds
file_name = data/pg_87.txt | result size = 119198 | Time elapsed: 0.378042 seconds
file_name = data/pg_88.txt | result size = 119703 | Time elapsed: 0.373332 seconds
file_name = data/pg_89.txt | result size = 120171 | Time elapsed: 0.383076 seconds
file_name = data/pg_90.txt | result size = 120627 | Time elapsed: 0.38303 seconds
file_name = data/pg_91.txt | result size = 120759 | Time elapsed: 0.389556 seconds
file_name = data/pg_92.txt | result size = 120868 | Time elapsed: 0.386315 seconds
file_name = data/pg_93.txt | result size = 121148 | Time elapsed: 0.400767 seconds
file_name = data/pg_94.txt | result size = 121359 | Time elapsed: 0.400214 seconds
file_name = data/pg_95.txt | result size = 121665 | Time elapsed: 0.405259 seconds
file_name = data/pg_96.txt | result size = 122163 | Time elapsed: 0.4054 seconds
file_name = data/pg_97.txt | result size = 122398 | Time elapsed: 0.408711 seconds
file_name = data/pg_98.txt | result size = 123081 | Time elapsed: 0.4151 seconds
file_name = data/pg_99.txt | result size = 124270 | Time elapsed: 0.414015 seconds
file_name = data/pg_100.txt | result size = 124888 | Time elapsed: 0.42546 seconds
file_name = data/pg_101.txt | result size = 125178 | Time elapsed: 0.425083 seconds
file_name = data/pg_102.txt | result size = 125778 | Time elapsed: 0.433966 seconds
file_name = data/pg_103.txt | result size = 126284 | Time elapsed: 0.430365 seconds
file_name = data/pg_104.txt | result size = 126360 | Time elapsed: 0.442118 seconds
file_name = data/pg_105.txt | result size = 126619 | Time elapsed: 0.449599 seconds
file_name = data/pg_106.txt | result size = 127048 | Time elapsed: 0.454258 seconds
file_name = data/pg_107.txt | result size = 127523 | Time elapsed: 0.446601 seconds
file_name = data/pg_108.txt | result size = 127856 | Time elapsed: 0.456297 seconds
file_name = data/pg_109.txt | result size = 127994 | Time elapsed: 0.467788 seconds
file_name = data/pg_110.txt | result size = 128212 | Time elapsed: 0.466071 seconds
file_name = data/pg_111.txt | result size = 128301 | Time elapsed: 0.480424 seconds
file_name = data/pg_112.txt | result size = 128557 | Time elapsed: 0.472498 seconds
file_name = data/pg_113.txt | result size = 128790 | Time elapsed: 0.482292 seconds
file_name = data/pg_114.txt | result size = 129330 | Time elapsed: 0.476103 seconds
file_name = data/pg_115.txt | result size = 129931 | Time elapsed: 0.484971 seconds
file_name = data/pg_116.txt | result size = 130419 | Time elapsed: 0.487261 seconds
